app,userName,at,score,title,content
Unacademy,Jayant india,,1,🧐😡,Unacademy just cheats with new learners  just by providing them wrost teachers giving them the greed of minimum fees 😡😡😡😡😡🧐
Unacademy,Aamir???,,2,Bugs in iPad,When I’m playing a lecture it’s lagging idk why and when I replay it (2x) it’s breaking sounds for seconds. Really needs to be fixed.
Unacademy,User10064,,1,Glitchy app!,"I facing problems (I am on iPad Air 5) with videos freezing and app freezing. While I can operate my iPad normally, its the app only that freezes."
Unacademy,SK_707,,1,Fraud,"Literally the worst app. out there.
Until one buys the subscription they never stop calling, but as soon as one buys the subscription there is no one to reach out to for any issues that one may face.
Also, I wanted the refund but to their own liking, they don’t even have such policies wherein one can seek refund if one is not satisfied with the experience.
Shame on you fraudsters!!"
Unacademy,freaked_mind,,1,Horrible,"Unacademy is disappointing and harmful for UPSC aspirants. The content is inconsistent and poorly structured, with many courses taught by inexperienced educators. The platform seems more focused on profit, pushing constant course purchases, causing financial strain and anxiety. This adds significant stress to students' already challenging preparation, negatively impacting their mental health. Unacademy needs to improve its approach to truly support aspirants' success. I cannot recommend it."
Unacademy,Animesh bahinipati,,1,No enrollments in course page,The enrollments section is entirely missing in the app
Unacademy,Dr687,,1,Dr,"Pathetic customer support
Useless call Center, only sitting to collect money, not providing any support to the students"
Unacademy,zhznbzbxbdbdbddb,,1,3rd class app,"I had a disappointing experience with Unacademy. Richard and Gangadhar sold me a subscription and were extremely attentive when I was about to take admission, calling me frequently. However, after I subscribed, they stopped responding to my calls. They promised I would receive books, but it's been over two months, and I still haven't received them. This lack of follow-through and poor customer service is unacceptable. I would not recommend Unacademy based on my experience."
Unacademy,Raiyyan fazal,,1,Bad very very bad,Very bad performance always lagging class always technical issues
Unacademy,aryan0100,,1,Download problem,"Please give a update
Lectures are not downloaded"
Unacademy,jitu51,,1,J,App not working on iPhone
Unacademy,Soham Gonge,,1,No use Of App On iOS,I am a student of Unacademy so I use their app but currently as of 9th June 2024 it’s not working the planners not visible nothing is working. The app is only working on Andriod
Unacademy,Rashidkhanjasar,,5,iOS Not Support properly,Bad App
