content,score,source,app,clean_review
This app is literally soo .... irritating I downloaded this app and added my details ( phone no ) and I think that was my worst mistake they literally called me at least 2-3 times a day and honestly for a aspirant it's really so disturbing that I can't tell you . Sometimes I genuinely felt destroying my phone sim card . I request with your team that please stop calling the same students 100 times if he/she is not responding and blocking the numbers it's a humble request from my side.,1,PlayStore,Unacademy,this app is literally soo  irritating i downloaded this app and added my details  phone no  and i think that was my worst mistake they literally called me at least  times a day and honestly for a aspirant its really so disturbing that i cant tell you  sometimes i genuinely felt destroying my phone sim card  i request with your team that please stop calling the same students  times if heshe is not responding and blocking the numbers its a humble request from my side
"Unacademy has become a mess. Classes vanishes from the planner, tests have wrong answers and there are no Organic Chemistry classes in the Nimbus NEET UG batch. The new smart board system lags constantly. The app keeps removing useful features with each update. Many basic feature just don’t work. Customer care is a nightmare. Honestly, only the educators make this app tolerable. Without them, the subscription wouldn't be worth a rupee.",1,PlayStore,Unacademy,unacademy has become a mess classes vanishes from the planner tests have wrong answers and there are no organic chemistry classes in the nimbus neet ug batch the new smart board system lags constantly the app keeps removing useful features with each update many basic feature just dont work customer care is a nightmare honestly only the educators make this app tolerable without them the subscription wouldnt be worth a rupee
App taking too much time for open .,1,PlayStore,Unacademy,app taking too much time for open 
"bad experience, price of batches is high then other platform.",1,PlayStore,Unacademy,bad experience price of batches is high then other platform
I don't have any issue in learning .5 star rating Learning wise but using app for live classes cause overheating even in new device .,2,PlayStore,Unacademy,i dont have any issue in learning  star rating learning wise but using app for live classes cause overheating even in new device 
I have used many app and this is one of the best and its a good platform for learning,5,PlayStore,Unacademy,i have used many app and this is one of the best and its a good platform for learning
Best app for learning,5,PlayStore,Unacademy,best app for learning
bakwaas hai class ki.pdf kabhi rahti hi nhi hai,2,PlayStore,Unacademy,bakwaas hai class kipdf kabhi rahti hi nhi hai
excellent platform for them who wants to achieve the desired goal,5,PlayStore,Unacademy,excellent platform for them who wants to achieve the desired goal
it was really good as i expected,5,PlayStore,Unacademy,it was really good as i expected
"It's everything every study materials are best i have ever seen unacademy's all teachers are best and specially it's notes WOW are best notes♥️Love You Unacademy and all Faculties.This is the best app to crack Every competitive exams ( IIT, Jee mains+Advance,NEET). Let's crack it.",5,PlayStore,Unacademy,its everything every study materials are best i have ever seen unacademys all teachers are best and specially its notes wow are best noteslove you unacademy and all facultiesthis is the best app to crack every competitive exams  iit jee mainsadvanceneet lets crack it
my is very good .such a right decision to choose unacademy,4,PlayStore,Unacademy,my is very good such a right decision to choose unacademy
